Name,Line,Treatment,Concentration,Day,boutd,sleepd,boutn,sleepn,wakeact,sleeplat,Sex
53_8_900,900,Trifluoperazine2HCl_,1,1,13,105,11,679,1.65091,13,Female
53_8_900,900,Trifluoperazine2HCl_,1,2,21,197,7,699,1.84559,5,Female
53_8_900,900,Trifluoperazine2HCl_,1,3,19,200,6,688,2.07246,6,Female
53_8_900,900,Trifluoperazine2HCl_,1,4,20,200,2,701,1.99629,8,Female
53_8_900,900,Trifluoperazine2HCl_,1,5,20,196,2,696,1.90511,19,Female
53_9_900,900,Trifluoperazine2HCl_,1,1,12,506,4,642,2.74658,18,Male
53_9_900,900,Trifluoperazine2HCl_,1,2,15,530,12,639,4.47601,26,Male
53_9_900,900,Trifluoperazine2HCl_,1,3,16,540,8,631,2.3197,60,Male
53_9_900,900,Trifluoperazine2HCl_,1,4,16,549,3,657,1.56838,54,Male
53_9_900,900,Trifluoperazine2HCl_,1,5,10,569,26,546,3.17231,62,Male
